iter	Passed	Remaining
0	10	10368
1	18	9248
2	26	8870
3	34	8563
4	41	8339
5	49	8157
6	57	8088
7	64	7971
8	71	7910
9	79	7843
10	86	7788
11	94	7747
12	101	7719
13	109	7702
14	116	7677
15	124	7665
16	133	7719
17	141	7730
18	149	7727
19	157	7715
20	165	7693
21	172	7683
22	180	7674
23	188	7645
24	195	7630
25	203	7618
26	210	7595
27	218	7583
28	225	7564
29	233	7562
30	241	7542
31	249	7532
32	256	7523
33	264	7515
34	272	7502
35	279	7495
36	287	7486
37	295	7477
38	302	7464
39	310	7450
40	318	7452
41	326	7449
42	334	7450
43	342	7441
44	350	7444
45	358	7433
46	366	7430
47	375	7437
48	383	7437
49	391	7445
50	398	7406
51	406	7409
52	414	7404
53	422	7410
54	430	7400
55	439	7405
56	447	7404
57	456	7408
58	464	7401
59	471	7384
60	479	7386
61	488	7393
62	496	7383
63	505	7388
64	513	7388
65	522	7394
66	530	7386
67	538	7384
68	546	7378
69	555	7383
70	563	7377
71	572	7381
72	582	7390
73	603	7551
74	612	7552
75	622	7568
76	632	7581
77	640	7569
78	648	7563
79	656	7552
80	665	7545
81	672	7533
82	681	7528
83	688	7512
84	697	7510
85	705	7498
86	714	7497
87	722	7485
88	730	7481
89	738	7469
90	747	7464
91	754	7450
92	763	7443
93	770	7430
94	779	7424
95	787	7411
96	795	7405
97	803	7393
98	811	7389
99	818	7370
100	826	7357
101	834	7350
102	842	7338
103	851	7332
104	858	7318
105	866	7309
106	874	7299
107	882	7287
108	890	7278
109	899	7273
110	907	7267
111	915	7261
112	923	7250
113	931	7239
114	940	7235
115	949	7238
116	958	7234
117	967	7231
118	976	7232
119	985	7226
120	995	7229
121	1004	7225
122	1012	7220
123	1021	7214
124	1029	7204
125	1037	7197
126	1046	7191
127	1054	7181
128	1063	7177
129	1071	7169
130	1080	7168
131	1090	7168
132	1098	7158
133	1108	7161
134	1116	7152
135	1126	7156
136	1136	7159
137	1147	7170
138	1159	7182
139	1168	7180
140	1177	7176
141	1186	7171
142	1196	7170
143	1206	7173
144	1215	7167
145	1226	7171
146	1235	7171
147	1245	7170
148	1256	7176
149	1266	7177
150	1277	7185
151	1289	7196
152	1300	7199
153	1311	7205
154	1323	7216
155	1334	7219
156	1345	7225
157	1355	7225
158	1365	7224
159	1377	7230
160	1387	7229
161	1398	7233
162	1409	7239
163	1420	7240
164	1429	7236
165	1438	7227
166	1448	7223
167	1458	7220
168	1468	7219
169	1478	7217
170	1488	7214
171	1497	7209
172	1507	7208
173	1518	7207
174	1528	7204
175	1537	7196
176	1546	7192
177	1556	7188
178	1566	7183
179	1575	7175
180	1584	7169
181	1593	7162
182	1602	7155
183	1611	7146
184	1621	7142
185	1631	7141
186	1642	7139
187	1651	7135
188	1661	7129
189	1671	7125
190	1680	7116
191	1688	7105
192	1696	7093
193	1704	7082
194	1713	7072
195	1721	7060
196	1729	7048
197	1738	7041
198	1746	7031
199	1755	7021
200	1763	7010
201	1771	7000
202	1780	6990
203	1788	6980
204	1797	6969
205	1805	6959
206	1813	6948
207	1822	6939
208	1830	6929
209	1839	6920
210	1847	6909
211	1855	6898
212	1864	6890
213	1873	6882
214	1882	6872
215	1890	6863
216	1899	6853
217	1907	6843
218	1915	6831
219	1924	6821
220	1932	6811
221	1941	6802
222	1949	6791
223	1958	6783
224	1966	6772
225	1974	6761
226	1982	6751
227	1991	6742
228	1999	6733
229	2008	6723
230	2016	6712
231	2025	6703
232	2033	6693
233	2041	6682
234	2049	6671
235	2057	6661
236	2066	6652
237	2074	6642
238	2083	6633
239	2091	6623
240	2099	6613
241	2108	6603
242	2116	6593
243	2124	6582
244	2132	6572
245	2140	6561
246	2149	6552
247	2158	6544
248	2166	6534
249	2175	6525
250	2184	6517
251	2194	6512
252	2204	6509
253	2215	6507
254	2225	6502
255	2235	6498
256	2246	6493
257	2257	6491
258	2268	6488
259	2282	6496
260	2291	6489
261	2300	6479
262	2308	6470
263	2317	6459
264	2325	6449
265	2334	6441
266	2343	6433
267	2351	6423
268	2360	6414
269	2369	6405
270	2377	6396
271	2386	6387
272	2395	6378
273	2404	6370
274	2412	6361
275	2421	6351
276	2429	6341
277	2437	6330
278	2445	6320
279	2454	6311
280	2462	6301
281	2471	6293
282	2481	6286
283	2489	6277
284	2498	6267
285	2506	6258
286	2515	6250
287	2524	6240
288	2533	6231
289	2541	6223
290	2550	6214
291	2559	6205
292	2567	6196
293	2577	6188
294	2585	6179
295	2594	6169
296	2602	6159
297	2611	6150
298	2619	6141
299	2628	6132
300	2636	6122
301	2644	6113
302	2653	6103
303	2661	6093
304	2670	6086
305	2680	6078
306	2689	6071
307	2698	6062
308	2708	6056
309	2717	6048
310	2726	6041
311	2735	6032
312	2743	6022
313	2753	6014
314	2761	6005
315	2770	5996
316	2778	5986
317	2787	5978
318	2796	5970
319	2805	5962
320	2814	5952
321	2823	5944
322	2840	5954
323	2852	5951
324	2863	5948
325	2873	5940
326	2881	5930
327	2890	5921
328	2899	5912
329	2908	5904
330	2916	5895
331	2925	5885
332	2934	5878
333	2943	5869
334	2951	5859
335	2960	5849
336	2969	5841
337	2978	5832
338	2986	5822
339	2995	5814
340	3003	5805
341	3012	5795
342	3021	5786
343	3029	5777
344	3037	5767
345	3046	5757
346	3054	5747
347	3062	5738
348	3071	5728
349	3078	5717
350	3087	5708
351	3095	5698
352	3104	5690
353	3113	5681
354	3122	5672
355	3131	5664
356	3139	5654
357	3148	5645
358	3156	5636
359	3164	5626
360	3173	5617
361	3182	5608
362	3190	5598
363	3198	5588
364	3207	5579
365	3215	5569
366	3224	5560
367	3231	5550
368	3240	5541
369	3249	5532
370	3257	5523
371	3266	5513
372	3274	5504
373	3283	5495
374	3291	5486
375	3300	5477
376	3308	5467
377	3317	5458
378	3325	5449
379	3334	5439
380	3342	5429
381	3350	5420
382	3359	5412
383	3367	5402
384	3376	5394
385	3385	5385
386	3393	5375
387	3401	5365
388	3410	5356
389	3418	5347
390	3427	5338
391	3436	5329
392	3445	5321
393	3453	5312
394	3474	5321
395	3484	5314
396	3493	5305
397	3501	5296
398	3509	5286
399	3518	5277
400	3526	5268
401	3535	5258
402	3543	5249
403	3551	5239
404	3560	5230
405	3568	5220
406	3576	5211
407	3585	5202
408	3593	5193
409	3602	5183
410	3610	5173
411	3618	5164
412	3627	5155
413	3636	5146
414	3644	5137
415	3652	5127
416	3660	5117
417	3669	5108
418	3677	5099
419	3686	5090
420	3695	5081
421	3703	5072
422	3712	5064
423	3723	5058
424	3733	5051
425	3743	5044
426	3753	5037
427	3763	5030
428	3773	5023
429	3783	5014
430	3792	5006
431	3801	4997
432	3810	4989
433	3819	4980
434	3827	4971
435	3835	4961
436	3844	4953
437	3854	4945
438	3863	4937
439	3875	4932
440	3885	4925
441	3894	4916
442	3904	4908
443	3912	4899
444	3920	4890
445	3929	4880
446	3938	4872
447	3947	4863
448	3955	4854
449	3964	4846
450	3973	4837
451	3982	4828
452	3992	4821
453	4002	4813
454	4010	4803
455	4019	4794
456	4028	4786
457	4036	4776
458	4044	4767
459	4053	4758
460	4062	4749
461	4070	4740
462	4079	4731
463	4087	4721
464	4096	4713
465	4105	4704
466	4113	4694
467	4121	4685
468	4129	4675
469	4138	4666
470	4146	4657
471	4155	4648
472	4164	4639
473	4173	4630
474	4181	4621
475	4190	4612
476	4198	4603
477	4207	4594
478	4215	4584
479	4223	4575
480	4232	4566
481	4240	4557
482	4249	4548
483	4257	4539
484	4266	4529
485	4274	4520
486	4284	4512
487	4293	4505
488	4305	4499
489	4317	4493
490	4328	4486
491	4337	4478
492	4346	4469
493	4354	4460
494	4363	4451
495	4372	4443
496	4381	4433
497	4389	4425
498	4399	4416
499	4407	4407
500	4416	4398
501	4425	4390
502	4434	4381
503	4443	4372
504	4451	4363
505	4459	4354
506	4468	4344
507	4476	4335
508	4485	4326
509	4494	4317
510	4502	4309
511	4511	4299
512	4519	4290
513	4528	4281
514	4536	4272
515	4545	4263
516	4553	4254
517	4562	4245
518	4570	4236
519	4579	4227
520	4588	4218
521	4596	4209
522	4605	4200
523	4614	4191
524	4623	4183
525	4632	4174
526	4640	4165
527	4649	4156
528	4657	4146
529	4665	4137
530	4674	4128
531	4682	4119
532	4690	4109
533	4699	4100
534	4707	4091
535	4716	4082
536	4724	4073
537	4733	4064
538	4741	4055
539	4750	4046
540	4758	4037
541	4766	4028
542	4775	4018
543	4784	4010
544	4794	4002
545	4803	3993
546	4813	3985
547	4822	3977
548	4832	3970
549	4841	3961
550	4849	3952
551	4858	3943
552	4866	3933
553	4875	3925
554	4884	3916
555	4892	3906
556	4901	3898
557	4910	3889
558	4918	3880
559	4926	3870
560	4935	3862
561	4944	3853
562	4952	3844
563	4960	3834
564	4968	3825
565	4977	3816
566	4985	3807
567	4995	3799
568	5003	3789
569	5011	3780
570	5019	3771
571	5028	3762
572	5037	3754
573	5046	3745
574	5054	3736
575	5063	3727
576	5071	3718
577	5080	3709
578	5088	3699
579	5096	3690
580	5105	3681
581	5113	3672
582	5122	3663
583	5130	3654
584	5139	3646
585	5147	3636
586	5156	3627
587	5164	3618
588	5172	3609
589	5181	3600
590	5190	3591
591	5198	3582
592	5207	3573
593	5216	3565
594	5224	3556
